Brand,Name,CPU,Weight,Price,Link,ImageLink,Display,RAM,Storage,Graphics Card,Source,Matching Group
HP,HP Envy 13-ba1536TU, i5-1135G7,,14.990.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-envy-13-ba1536tu-4u6m5pa-i5-1135g7-vang-hang-trung-bay--s220802457,https://lh3.googleusercontent.com/SWzrYPQW0I6Oi5FcnwKF96Wlik9eofDMH0_PVmf29GN4p7mklgrAevLTCb8TvtH9M4WQySebqb9_teJCsm5vbyhoxx6cd2g=w500-rw,"13.3"" IPS (1920 x 1080)",8GB Onboard DDR4 2933MHz,512GB SSD M.2 NVMe /,Onboard Intel Iris Xe Graphics,phongvu,HP Envy 13-ba1536TU
ASUS,ASUS Gaming ROG Zephyrus GU603ZW-K8021W, i9-12900H,1.9kg,73.990.000₫,https://phongvu.vn/asus-gaming-rog-zephyrus-gu603zw-k8021w--s220802796,https://lh3.googleusercontent.com/1vKpTkjX0wOskLwEi9dvQjZOCNlj4GMioMLA_EQldmgA47mlg9sHwAbuHUTsOK04iX2XAzjasO1btNxTKwgNVEyx2byLARVz=w500-rw,"16"" IPS (2560 x 1600),165Hz",32GB (16GB + 16GB Onboard) DDR5 4800MHz,1TB SSD M.2 NVMe /,RTX 3070Ti 8GB GDDR6 / Intel Iris Xe Graphics,phongvu,ASUS Gaming ROG Zephyrus GU603ZW-K8021W
ASUS,ASUS Vivobook X1402ZA-EB100W, i3-1220P,1.5kg,10.990.000₫,https://phongvu.vn/asus-vivobook-x1402za-eb100w--s220802806,https://lh3.googleusercontent.com/ZovASFmDYKH63GSxTBiGs_MweU7exLNC7_4SQgZcAUOjMvehluymM394ZNwxkPJkrObiCH8fyG0TSD36gNYfkqCIy5jRAbY=w500-rw,"14"" IPS (1920 x 1080)",8GB Onboard DDR4 3200MHz,256GB SSD M.2 NVMe /,Onboard Intel UHD Graphics,phongvu,ASUS Vivobook X1402ZA-EB100W
ASUS,Asus ExpertBook B1500CEAE-EJ2646T, i5-1135G7,1.7kg,13.400.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-expertbook-b1500ceae-ej2646t-i5-1135g7-den-hang-trung-bay--s220802853,https://lh3.googleusercontent.com/bwPIfOyPcxUKavbz0x3TgNHa3gn6HzJhvnzjT7GsnTzNfJ3S-itlSPqGRX-3mMD4ncoSo5dFyTuoxF3XAy-aCkRpy7c4kDKU=w500-rw,"15.6"" (1920 x 1080)",1 x 8GB Onboard DDR4 2666MHz,256GB SSD M.2 NVMe /,Onboard Intel Iris Xe Graphics,phongvu,Asus ExpertBook B1500CEAE-EJ2646T
ASUS,Asus ROG Strix G17 G713RM-LL016W, Ryzen 7 6800H,2.9kg,34.910.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-strix-g17-g713rm-ll016w-amd-ryzen-7-6800h-xam-hang-trung-bay--s220802855,https://lh3.googleusercontent.com/vq-iHcY_1dSw4a3Li6eXAGRziH-DP0wW4d7XVvC-PJ8Dxy13cRccQjmIy4v0orX90CzFP1Gcg0ep1f2MMPmVVLveboaPpQ4K=w500-rw,"17.3"" IPS (2560 x 1440),240Hz",2 x 8GB DDR5 4800MHz,512GB SSD M.2 NVMe /,RTX 3060 6GB GDDR6 / AMD Radeon 680M,phongvu,Asus ROG Strix G17 G713RM-LL016W
ASUS,Asus X415EA-EK675W, i3-1115G4,,8.790.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-x415ea-ek675w-i3-1115g4-bac-hang-trung-bay--s220802858,https://lh3.googleusercontent.com/EJPZUvy_ny_Izdhmx0x0tZi68ZKWStJSApbV4QVicipHZFJwFC8ApR7FritGzcBK-ksf6gOFr3N0KXaQlEopRpumcwrD8kXq1g=w500-rw,"14"" (1920 x 1080)",1 x 4GB Onboard DDR4 2666MHz,256GB SSD M.2 NVMe,Onboard Intel UHD Graphics,phongvu,Asus X415EA-EK675W
ACER,ACER Nitro 5 AN515-58-79UJ, i7-12700H,2.5kg,41.490.000₫,https://phongvu.vn/acer-nitro-5-an515-58-79uj-nh-qhysv-001--s220802885,https://lh3.googleusercontent.com/gSf4G4FmSWrklayV2zbZOSpillRwy28ct-FDx99RASHNCauQYZBN2VWTqqZwi6wg_TkAf-ApERen56_g9o_Nh8Hj35Gwwro=w500-rw,"15.6"" IPS (1920 x 1080),165Hz",2 x 8GB DDR5 4800MHz,512GB SSD M.2 NVMe /,RTX 3060 6GB GDDR6 / Intel Iris Xe Graphics,phongvu,ACER Nitro 5 AN515-58-79UJ
DELL,Dell G15 5511, i5-11400H,2.8kg,23.490.000₫,https://phongvu.vn/laptop-dell-g15-5511-p105f006--s220802901,https://lh3.googleusercontent.com/bFSdPaQz2ekh3SWNgabonKoRcXtLA_VtEVq8KufCXEmSLL-vC7yU_galUilvoBRm87f2y3eI62R1Phv87inMYGkXTjdGHYVr=w500-rw,"15.6"" WVA (1920 x 1080),120Hz",2 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe /,RTX 3050 4GB GDDR6 / Intel UHD Graphics,phongvu,Dell G15 5511
LENOVO,Lenovo IdeaPad 5 Pro 16ACH6-82L50095VN, Ryzen 5 5600H,,17.990.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-ideapad-5-pro-16ach6-82l50095vn-amd-ryzen-5-5600h-xam-hang-trung-bay--s220806016,https://lh3.googleusercontent.com/nl3RESBDC0fG1K0VsUqKB5CJEDW8u8-50gGfQU42GKxedd606aT7c5jZ2niw0Iohww_U_Y1pfME6iMuVJafw9q440WJbIvY=w500-rw,"16"" IPS (2560 x 1600)",1 x 8GB Onboard DDR4 3200MHz,512GB SSD M.2 NVMe,NVIDIA GeForce GTX 1650 4GB GDDR6 / AMD Radeon Graphics,phongvu,Lenovo IdeaPad 5 Pro 16ACH6-82L50095VN
MACBOOK,MacBook Pro 2022 16 inch Z14V00122,Apple M1 Pro,2.1kg,75.499.000₫,https://phongvu.vn/macbook-pro-16-inch-z14v00122--s220806146,https://lh3.googleusercontent.com/08ren07fdnH7xgABuNIXugoUclIY-k5KegTaQxc3Lwle3wmWnrqjK35VeuJ31kC7bJNhorfEstysERS1CoXzfIglMQwHLWo=w500-rw,"16"" (3456 x 2234)",32GB,512GB SSD /,Onboard,phongvu,MacBook Pro 2022 16 inch Z14V00122
MACBOOK,MacBook Air 2022 13.6 inch Z15W00051,Apple M2 chip,1.2kg,36.890.000₫,https://phongvu.vn/macbook-air-13-6-inch-z15w00051--s220806188,https://lh3.googleusercontent.com/VcXwVhZ2wrNcAs4e5On60v4-Ho_SV6Sp9b1_-GYH3KxjWgikr3eilbV32L9ThAIgb_AdBoH819kF9oOpPIXftbsmT4lsIYEg=w500-rw,"13.6"" IPS (2560 x 1664)",16GB,256GB SSD /,Onboard,phongvu,MacBook Air 2022 13.6 inch Z15W00051
MACBOOK,MacBook Air 2022 13.6 inch Z15Y00051,Apple M2 chip,1.2kg,36.890.000₫,https://phongvu.vn/macbook-air-m2-2022-13-6-inch-z15y00051--s220806189,https://lh3.googleusercontent.com/zlxLl49XMNocR6SW3LIxogbPxWizZSKJeARSVV_5bI0kY0I2IEsUDoRom8Gykxm8lzK9R7d1j4xe37x363jgPBS-iE1kjTFk=w500-rw,"13.6"" IPS (2560 x 1664)",16GB,256GB SSD /,Onboard,phongvu,MacBook Air 2022 13.6 inch Z15Y00051
MACBOOK,MacBook Air 2022 13.6 inch Z16000051,Apple M2 chip,1.2kg,36.890.000₫,https://phongvu.vn/macbook-air-13-6-inch-z16000051--s220806190,https://lh3.googleusercontent.com/WsEIJn5jBLXjSSr8uBz587h2xrEA8XWZhrjovDsfUG9teg7OUkqrDqqjgCsP-zvFZSC-V65AE4hKIF6DLEqu5WtXZoEr4JUi=w500-rw,"13.6"" IPS (2560 x 1664)",16GB,256GB SSD /,Onboard,phongvu,MacBook Air 2022 13.6 inch Z16000051
MACBOOK,MacBook Air 2022 13.6 inch Z15T0003P,Apple M2 chip,1.2kg,44.770.000₫,https://phongvu.vn/macbook-air-13-6-inch-z15t0003p--s220806191,https://lh3.googleusercontent.com/q7bE_8RRM0Pegy1eXFBGXdIGMeQbtPvyAZ5nLEM8icrpe2A28j676O0xRgJMFkkoRWuZR_GePjBiukx2HHm4oFTUEhI5d01DBQ=w500-rw,"13.6"" IPS (2560 x 1664)",16GB,512GB SSD /,Onboard,phongvu,MacBook Air 2022 13.6 inch Z15T0003P
MACBOOK,MacBook Air 2022 13.6 inch Z15X0003L,Apple M2 chip,1.2kg,44.770.000₫,https://phongvu.vn/macbook-air-13-6-inch-z15x0003l--s220806192,https://lh3.googleusercontent.com/Ccv3epmwQ1R3jjGT-0KnJ63ykGCEAj4KYjhkY9Iu6DUf56D7fc15n4Wjl6U93LNL4H8IZrQFZhD5KNeSNSrD6fYPPJX70qWY=w500-rw,"13.6"" IPS (2560 x 1664)",16GB,512GB SSD /,Onboard,phongvu,MacBook Air 2022 13.6 inch Z15X0003L
MSI,MSI Gaming GF63 Thin 11UC, i7-11800H,1.8kg,25.990.000₫,https://phongvu.vn/msi-gaming-gf63-thin-11uc-667vn--s220806390,https://lh3.googleusercontent.com/OOVvmD2jHSdlrqFH_0K-gdytLXA9Krail4oCsb10QKAh04082O_NW5IPSJ5M84gyf4VxJEN3CJpFB6pJYdiyOrmMywCEJ-FJ=w500-rw,"15.6"" IPS (1920 x 1080),144Hz",1 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe /,RTX 3050 4GB GDDR6 / Intel UHD Graphics,phongvu,MSI Gaming GF63 Thin 11UC-1228VN
ASUS,ASUS Vivobook A1503ZA-L1352W, i7-12700H,1.7kg,25.990.000₫,https://phongvu.vn/asus-vivobook-a1503za-l1352w--s220902260,https://lh3.googleusercontent.com/Gdhy7tVh2yIX92NSyBOgMEd_VDcdkV_5aotzyY9BEnOWJDgvS0ah9IEpaZs62dZauCXiRknDOoljp7lC-8nUAvznWXU8OCtu=w500-rw,"15.6"" OLED (1920 x 1080)",16GB (8GB + 8GB Onboard) DDR4 3200MHz,512GB SSD M.2 NVMe /,Onboard Intel Iris Xe Graphics,phongvu,ASUS Vivobook A1503ZA-L1352W
LENOVO,Lenovo Legion 5 Pro 16IAH7H-82RF0044VN, i7-12700H,2.5kg,54.590.000₫,https://phongvu.vn/laptop-lenovo-legion-5-pro-16iah7h-82rf0044vn--s220902855,https://lh3.googleusercontent.com/4fAab1P4qXBKg68EflKu_lsmXtVVZptVm5cKiPxgR7pZO9D6vrYKXAnnRrmv98t9GzpLNtG7B9P2KfMvOCwIReak38Bl3Niq=w500-rw,"16"" IPS (2560 x 1600),165Hz",2 x 8GB DDR5 4800MHz,512GB SSD M.2 NVMe /,RTX 3070Ti 8GB GDDR6 / Intel Iris Xe Graphics,phongvu,Lenovo Legion 5 Pro 16IAH7H-82RF0044VN
ACER,Acer Aspire 3 A315-58-35AG, i3-1115G4,1.7kg,8.920.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a315-58-35ag-nx-addsv-00b-i3-1115g4-bac-hang-trung-bay--s220908362,https://lh3.googleusercontent.com/2Stl7h4zEhLu7yBzn4rLnOjbHQHXAn46CqS96V0Wpa1MryJ_TkVmmvryjMov5Zr0s9pYXCrgUcXwn-lFmxwQleOfw7WV2Zjh3w=w500-rw,"15.6"" (1920 x 1080)",1 x 4GB Onboard DDR4 2400MHz,256GB SSD M.2 NVMe /,Onboard Intel UHD Graphics,phongvu,ACER ASPIRE 3 A315 58 787C
ACER,Acer Aspire 5 A514-54-39KU, i3-1115G4,1.5kg,11.470.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-5-a514-54-39ku-nx-a23sv-003-i3-1115g4-bac-hang-trung-bay--s220908363,https://lh3.googleusercontent.com/qQQaSjN-yCxxAcq4NUxaVe46nwHvCjiDPtawVseoJJfxK5OVBMzowbkmhG0p15SY6-_nqjHINK42ZBIe5_v9qGISmjUJ6Y5Bhw=w500-rw,"14"" IPS (1920 x 1080)",1 x 4GB Onboard DDR4 2666MHz,256GB SSD M.2 NVMe /,Intel UHD Graphics,phongvu,Acer Aspire 5 A514-54-39KU
ASUS,Asus UX482EA-KA274T, i5-1135G7,1.63kg,22.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-ux482ea-ka274t-i5-1135g7-xanh-hang-trung-bay--s220908386,https://lh3.googleusercontent.com/EMicbQLQenORfc4GnhrNdtH0ZxmM_cyBw8pnAiW0-Xr4hT2pLS_t0KNoPXRjEBKqBf87xOl901JqvY_w09D4fkmyVG4UTSDm=w500-rw,"14"" IPS (1920 x 1080)",8GB Onboard LPDDR4X,512GB SSD M.2 NVMe /,Onboard Intel Iris Xe Graphics,phongvu,Asus UX482EA-KA274T
LENOVO,Lenovo Yoga Slim 7 14ITL05-82A3004FVN, i7-1165G7,,18.190.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-yoga-slim-7-14itl05-82a3004fvn-i7-1165g7-xanh-reu-hang-trung-bay--s220908408,https://lh3.googleusercontent.com/W3Jb_hpkcBts8WXdRyPtG6tchdw3eYUDbqupReUq4lwxj0nx37lKB9-gSTGf_Tu3lIpUU_jHKq5qQE1fGD5GZsxQBiwx2XR1=w500-rw,"14"" IPS (1920 x 1080)",8GB Onboard DDR4 3200MHz,512GB SSD M.2 NVMe,Onboard Intel Iris Xe Graphics,phongvu,Lenovo Yoga Slim 7 14ITL05-82A3004FVN
MSI,MSI Bravo 15 B5DD-264VN,Ryzen 7 5800H,1.9kg,17.890.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-bravo-15-b5dd-264vn-amd-ryzen-7-5800h-den-hang-trung-bay--s220908410,https://lh3.googleusercontent.com/pjej34fF0QO_eDrh7i9gsZG-NVSxFlw_Ylppw0NGAQL_oTnQzxLjEhKooPaTgQnYaDVhdJ7EJjR3ypVNGfhiJMBNQrfoalH2AA=w500-rw,"15.6"" IPS (1920 x 1080),144Hz",1 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe /,Radeon RX 5500M 4GB GDDR6 / AMD Radeon Graphics,phongvu,MSI Bravo 15 B5DD-264VN
LENOVO,Lenovo ThinkPad X1 Carbon Gen 10- 21CB009WVN, i5-1240P,1.1kg,47.490.000₫,https://phongvu.vn/laptop-lenovo-thinkpad-x1-carbon-gen-10--s220908928,https://lh3.googleusercontent.com/ZJlNfympLmTbjXSzHLxgSNrlesrxkftu0O2Na0bpW3EW268H1MjieOKwOTRZ0rmVNpwJhgiVdFWrCVvSXyp2dTBfsh7HIkU=w500-rw,"14"" IPS (2240 x 1400)",16GB Onboard LPDDR5 5200MHz,512GB SSD M.2 NVMe /,Onboard Intel Iris Xe Graphics,phongvu,LENOVO THINKPAD X1 CARBON GEN 10
ASUS,ASUS TUF Gaming FX506HM-HN366W, i7-11800H,2.3kg,30.590.000₫,https://phongvu.vn/asus-tuf-gaming-fx506hm-hn366w--s220909067,https://lh3.googleusercontent.com/4FZnkV2_ssyGvjKqgZgVZCqhLtRNhiOicxDmbiliuSkhpas8T5BGSAHHXmQbynLQQ6fkWH_FhBlgDPUGFk_IQdueQn7tvjc=w500-rw,"15.6"" IPS (1920 x 1080),144Hz",1 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe /,RTX 3060 6GB GDDR6 / Intel UHD Graphics,phongvu,ASUS TUF Gaming FX506HM-HN366W
