Brand,Name,CPU,Weight,Price,Link,ImageLink,Display,RAM,Storage,Graphics Card,Source,Matching Group
ASUS,Asus TUF Gaming FX506LHB-HN188W," i5, 10300H",2.3 kg,15.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506lhb-hn188w-i5-10300h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/26/637788079927538825_asus-tuf-gaming-fx506lh-den-2022-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-glare LED-backlit","8 GB (1 thanh 8 GB), DDR4, 2933 MHz",SSD 512 GB,"NVIDIA GeForce GTX 1650 4GB, Intel UHD Graphics",fptshop,Asus TUF Gaming FX506LHB-HN188W
MSI,MSI Gaming GF63 Thin 11SC-664VN," i5, 11400H",1.86 kg,15.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11sc-664vn-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/16/638121568991590497_msi-gaming-gf63-thin-11-den-3.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, FHD","8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4GB,fptshop,MSI Gaming GF63 Thin 11SC-664VN
GIGABYTE,Gigabyte Gaming G5 GD-51VN123SO," i5, 11400H",2.2 kg,18.190.000₫,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-gd-i5-11400h-rtx3050,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/18/637675535176190224_gigabyte-gaming-g5-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 300 nits, Anti-glare LED-backlit","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel UHD Graphics",fptshop,Gigabyte Gaming G5 GD-51VN123SO
ACER,Acer Nitro 5 Tiger Gaming AN515-58-52SP," i5, 12500H",2.5 kg,22.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435466475076_acer-nitro-gaming-an515-58-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel Iris Xe Graphics",fptshop,Acer Nitro 5 Tiger Gaming AN515-58-52SP
LENOVO,Lenovo Gaming Legion 5 15IAH7H," i5, 12500H",2.35 kg,27.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-5-15iah7h-i5-12500h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/23/638151671900654404_lenovo-gaming-legion-5-15iah7h-xam-dam-1.jpg,"15.6 inch, 2560 x 1440 Pixels, IPS, 165 Hz, 300 nits, IPS LCD LED Backlit, True Tone","16 GB (2 thanh 8 GB), DDR5, 4800 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3060 6GB, Intel Iris Xe Graphics",fptshop,Lenovo Gaming Legion 5 15IAH7H
MSI,MSI Gaming Alpha 15 B5EEK-203VN," Ryzen 5, 5600H",2.35 kg,17.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-alpha-15-b5eek-203vn-r5-5600h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/23/637679950996596620_msi-gaming-alpha-15-den-rgb-1-zone-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 358 nits, IPS FHD","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"AMD Radeon RX 6600M 8GB, AMD Radeon Graphics Vega 6",fptshop,MSI Gaming Alpha 15 B5EEK-203VN
ACER,Acer Nitro Gaming AN515-57-54MV," i5, 11400H",2.2 kg,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-54mv-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/7/5/637610884165519217_acer-nitro-gaming-an515-57-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel UHD Graphics",fptshop,Acer Nitro Gaming AN515-57-54MV
MSI,MSI Gaming Thin GF63 12VE-454VN," i5, 12450H",1.86 kg,21.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-gf63-12ve-454vn-i5-12450h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/7/638137864183879681_msi-gaming-gf63-thin-11uc-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, IPS FHD","16 GB, DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 4050 6GB GDDR6, Intel Iris Xe Graphics",fptshop,MSI Gaming Thin GF63 12VE-454VN
ASUS,Asus TUF Gaming FX506HC-HN144W," i5, 11400H",2.3 kg,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hc-hn144w-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/4/8/637850092511020843_asus-tuf-gaming-fx506h-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-glare LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel UHD Graphics",fptshop,Asus TUF Gaming FX506HC-HN144W
LENOVO,Lenovo Ideapad Gaming 3 15ARH7," Ryzen 7, 6800H",2.32 kg,17.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-gaming-3-15arh7-r7-6800h?card-do-hoa=rtx-3050,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/15/637961729514184998_lenovo-ideapad-gaming-3-15arh7-trang-4.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 120 Hz, 250 nits, IPS","8 GB, DDR5, 4800 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, AMD Radeon Graphics",fptshop,Lenovo Ideapad Gaming 3 15ARH7
ACER,Acer Aspire A315-59-321N," i3, 1215U",1.7 kg,9.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-a315-59-321n-i3-1215u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/20/638176054476482166_acer-aspire-a315-59-321n-i3-1215u-bac-1.jpg,"15.6 inch, 1920 x 1080 Pixels, VA, 60 Hz, Acer ComfyView LED-backlit","8 GB, DDR4, 3200 MHz",SSD 256 GB,Intel UHD Graphics,fptshop,Acer Aspire A315-59-321N
MSI,MSI Modern 15 B7M-098VN," Ryzen 7, 7730U",1.75 kg,14.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b7m-098vn-r7-7730u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152553410995909_msi-modern-15-b7m-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,MSI Modern 15 B7M-098VN
HP,HP 15s fq2711TU," i3, 1115G4",1.7 kg,9.790.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq2711tu-i3-1115g4,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/2/638109605846633539_hp-15s-fq-vang-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, Anti-Glare","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 256 GB,Intel UHD Graphics,fptshop,HP 15s fq2711TU
LENOVO,Lenovo IdeaPad 1 15AMN7," Ryzen 5, 7520U",1.58 kg,9.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-1-15amn7-r5-7520u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/11/29/638053327833014914_lenovo-ideapad-1-15amn7-xam-1.jpg,"15.6 inch, 1920 x 1080 Pixels, TN, 60 Hz, 220 nits, FHD","8 GB, LPDDR5, 5500 MHz",SSD 512 GB,AMD Radeon 610 2GB,fptshop,Lenovo IdeaPad 1 15AMN7
MSI,MSI Modern 15 B7M-099VN," Ryzen 5, 7530U",1.75 kg,12.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b7m-099vn-r5-7530u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152553410995909_msi-modern-15-b7m-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD","8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,MSI Modern 15 B7M-099VN
ASUS,Asus Vivobook E1404FA-NK186W," Ryzen 5, 7520U",1300 g,13.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/11/638168280594574722_asus-vivobook-e1404fa-nk186w-r5-7520u-den-5.jpg,"14.0 inch Chính:, 1920 x 1080 Pixels Màn hình chính:, IPS, 60 Hz Màn hình chính:, 250 nits, LED Backlit Chính:","16 GB, LPDDR5, 5500 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,Asus Vivobook E1404FA-NK186W
HP,HP 15s fq2712TU," i3, 1115G4",1.7 kg,9.790.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq2712tu-i3-1115g4,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/7/11/637931467775595338_hp-15s-fq-bac-win11-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, Anti-Glare","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 256 GB,Intel UHD Graphics,fptshop,HP 15s fq2712TU
ASUS,Asus Vivobook M513UA-EJ704W," Ryzen 7, 5700U",1.8 kg,14.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m513ua-ej704w-r7-5700u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/2/638109316757538562_asus-vivobook-m513ua-ej704w-r7-5700u-bac-4.jpg,"15.6 inch, FHD (1920 x 1080), TN, 60 Hz, Anti-Glare LED-Backlit Display","8 GB, DDR4, 3200 MHz",SSD 512 GB,None,fptshop,Asus Vivobook M513UA-EJ704W
HP,HP 14s-em0080AU," Ryzen 3, 7320U",1.4 kg,10.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0080au-r3-7320u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/11/638168318098594588_hp-14s-em0080au-r3-7320u-bac-1.jpg,"14.0 inch, FHD (1920 x 1080), SVA, 60 Hz, Anti - Glare","8 GB, LPDDR5, 6400 MHz",SSD 256 GB,None,fptshop,HP 14s-em0080AU
MSI,MSI Modern 14 C11M-011VN," i3, 1115G4",1.4 kg,10.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-c11m-011vn-i3-1115g4,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/7/638137838697642749_msi-modern-14-c11m-den-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, IPS","8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,fptshop,MSI Modern 14 C11M-011VN
ASUS,Asus Vivobook A1503ZA-L1139W," i5, 12500H",1.7 kg,16.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1503za-l1139w-i5-12500h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/4/637952089477835941_asus-vivobook-a1503-bac-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 600 nits, OLED","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,fptshop,Asus Vivobook A1503ZA-L1139W
HP,HP 14s-em0078AU," Ryzen 5, 7520U",1.4 kg,12.790.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0078au-r5-7520u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/11/638168318098594588_hp-14s-em0080au-r3-7320u-bac-1.jpg,"14.0 inch, 1920 x 1080 Pixels, SVA, 60 Hz, 250 nits, FHD","8 GB (1 thanh 8 GB), LPDDR5, 5500 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,HP 14s-em0078AU
ASUS,Asus Vivobook M1503QA-L1026W," Ryzen 5, 5600H",1.7 kg,15.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1503qa-l1026w-r5-5600h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/26/637971384894267227_asus-vivobook-m1503-bac-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 600 nits, OLED","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,Asus Vivobook M1503QA-L1026W
MSI,MSI Modern 15 A11MU-1022VN," i5, 1155G7",1.6 kg,13.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-a11mu-1022vn-i5-1155g7,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/4/637663479331129814_msi-modern-15-xam-1.jpg,"15.6 inch Chính:, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, LED Backlit Chính:","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,fptshop,MSI Modern 15 A11MU-1022VN
ACER,Acer Aspire 3 A315-58-54M5," i5, 1135G7",1.7 kg,12.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-58-54m5-i5-1135g7,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/6/17/637910633279594384_acer-aspire-3-a315-58-bac-2.jpg,"15.6 inch, 1920 x 1080 Pixels, TN, 60 Hz, Acer ComfyView LED-backlit","8 GB (2 thanh 4 GB), DDR4, 2400 MHz",SSD 512 GB,Intel Iris Xe Graphics,fptshop,Acer Aspire 3 A315-58-54M5
MSI,MSI Gaming GF63 Thin 11UC-1228VN," i7, 11800H",1.86 kg,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11uc-1228vn-i7-11800h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/16/638121561917638077_msi-gaming-gf63-thin-11uc-1228vn-i7-11800h-5.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS","8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,fptshop,MSI Gaming GF63 Thin 11UC-1228VN
ASUS,Asus TUF Gaming FX506HF-HN017W," i5, 11400H",2.3 kg,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hf-hn017w-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/4/638162268369378408_asus-tuf-gaming-fx506hf-den-1.jpg,"15.6 inch, FHD (1920 x 1080), IPS, 144 Hz, Anti - Glare","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,None,fptshop,Asus TUF Gaming FX506HF-HN017W
GIGABYTE,Gigabyte Gaming G5 GE-51VN263SH," i5, 12500H",1.9 kg,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-ge-i5-12500h-rtx3050,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/5/638005617517738074_gigabyte-gaming-g5-ge-i5-12500h-rtx3050-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-Glare LED-Backlit Display","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel Iris Xe Graphics",fptshop,Gigabyte Gaming G5 GE-51VN263SH
MSI,MSI Gaming GF63 Thin 11UC-1230VN," i5, 11400H",1.86 kg,17.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11uc-1230vn-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/7/638137864183879681_msi-gaming-gf63-thin-11uc-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,None,fptshop,MSI Gaming GF63 Thin 11UC-1230VN
LENOVO,Lenovo Gaming IdeaPad 3 15IHU6," i5, 11320H",2.25 kg,15.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-ideapad-3-15ihu6-i5-11320h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/15/638120518132880398_lenovo-gaming-ideapad-3-15ihu6-den-7.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 120 Hz, 250 nits, IPS LCD LED Backlit, True Tone","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel Iris Xe Graphics",fptshop,Lenovo Gaming IdeaPad 3 15IHU6
ASUS,Asus Zenbook UM5401QA-KN209W," Ryzen 5, 5600H",1.4 kg,18.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-um5401qa-kn209w-r5-5600h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817445613103589_asus-zenbook-um5401-den-1.jpg,"14.0 inch, 2880 x 1800 Pixels, OLED, 90 Hz, 500 nits, OLED","8 GB, LPDDR4X, 4267 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,Asus Zenbook UM5401QA-KN209W
LENOVO,Lenovo IdeaPad 3 14IAU7," i5, 1235U",1.63 kg,13.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iau7-i5-1235u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/7/638007503321192049_lenovo-ideapad-3-14iau7-xanh-2.jpg,"14.0 inch, 1920 x 1080 Pixels, TN, 60 Hz, 250 nits, IPS LCD LED Backlit, True Tone","8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,fptshop,Lenovo IdeaPad 3 14IAU7
MSI,MSI Modern 14 C5M-030VN," Ryzen 5, 5625U",1.4 kg,11.600.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-c5m-030vn-r5-5625u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/16/638121594284990831_msi-modern-14-c5m-den-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD","8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,MSI Modern 14 C5M-030VN
MSI,MSI Modern 15 B5M-023VN," Ryzen 5, 5625U",1.75 kg,12.100.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b5m-023vn-r5-5625u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/16/638121579946663376_msi-modern-15-b5m-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD","8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,MSI Modern 15 B5M-023VN
ASUS,Asus Vivobook 15 OLED A1505VA-L1113W," i5, 13500H",1.7 kg,18.290.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1505va-l1113w-i5-13500h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/13/638169958069065063_asus-vivobook-a1505va-l1113w-i5-13500h-bac-2.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 600 nits, FHD","16 GB, DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,fptshop,Asus Vivobook 15 OLED A1505VA-L1113W
ASUS,Asus Vivobook X415EA-EK1387W," i3, 1115G4",1.6 kg,9.790.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x415ea-ek1387w-i3-1115g4,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/3/1/637502173945571143_asus-vivobook-x415-print-bac-1.jpg,"14.0 inch, 1920 x 1080 Pixels, TN, 60 Hz, 220 nits, Anti-glare LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 256 GB,Intel UHD Graphics,fptshop,Asus Vivobook X415EA-EK1387W
ASUS,Asus Vivobook X1502ZA-BQ126W," i5, 1240P",1.7 kg,14.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1502za-bq126w-i5-1240p,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/5/27/637892458533318076_asus-vivobook-x1502-bac-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, LED Backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,fptshop,Asus Vivobook X1502ZA-BQ126W
HP,HP Pavilion 14-dv2075TU," i5, 1235U",1.41 kg,16.890.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2075tu-i5-1235u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/2/638109598050514281_hp-pavilion-14-dv-bac-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, LED Backlit","8 GB (2 thanh 4 GB), DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,fptshop,HP Pavilion 14-dv2075TU
HP,HP Pavilion 15-eg2083TU," i5, 1240P",1.72 kg,16.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg2083tu-i5-1240p,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/7/29/637947006435405914_hp-pavilion-15-eg-bac-2022-win11-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, IPS FHD","8 GB (2 thanh 4 GB), DDR4, 3200 MHz",SSD 512 GB,None,fptshop,HP Pavilion 15-eg2083TU
LENOVO,Lenovo ThinkBook 14 G3 ACL," Ryzen 7, 5700U",1.4 kg,13.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g3-acl-r7-5700u-win11,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/27/638155288067725126_lenovo-thinkbook-14-g3-alc-xam-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Anti - Glare","8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,Lenovo ThinkBook 14 G3 ACL
ASUS,Asus Vivobook X515EA-EJ322W," i3, 1115G4",1.8 kg,10.390.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-ej322w-i3-1115g4,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/3/1/637502180353670464_asus-vivobook-x515-print-bac-1.jpg,"15.6 inch, FHD (1920 x 1080), TN, Anti-Glare LED-Backlit Display","8 GB (2 thanh 4 GB), DDR4",SSD 512 GB,Intel UHD Graphics,fptshop,Asus Vivobook X515EA-EJ322W
ASUS,Asus Vivobook M1403QA-LY022W," Ryzen 5, 5600H",1.6 kg,14.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1403qa-ly022w-r5-5600h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/14/637987719191658652_asus-vivobook-m1403-non-oled-bac-1.jpg,"14.0 inch, 1920 x 1200 Pixels, IPS, 60 Hz, 300 nits, LED Backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,Asus Vivobook M1403QA-LY022W
ASUS,Asus Vivobook Flip TN3402YA-LZ026W," Ryzen 5, 7530U",1.5 kg,17.090.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-flip-tn3402ya-lz026w-r5-7530u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152764193437366_asus-vivobook-flip-tn3402y-bac-1.jpg,"14.0 inch, 1920 x 1200 Pixels, IPS, 60 Hz, 250 nits, IPS LCD","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,fptshop,Asus Vivobook Flip TN3402YA-LZ026W
