Brand,Name,CPU,Weight,Price,OldPrice,Link,ImageLink,Display,RAM,Storage,Graphics Card,Size,OS,Manufacturing Year,Source,Matching Group
 MacBook,APPLE MACBOOK AIR 13 INCH M1 2020 8-CORE CPU,Apple M1 ,1.29 kg,18.390.000₫,,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,https://cdn.tgdd.vn/Products/Images/44/231244/Slider/vi-vn-apple-macbook-air-2020-mgn63saa-thumbvideo.jpg,"13.3"" Retina (2560 x 1600) ",8 GB ,256 GB SSD ,Card tích hợp 7 nhân GPU ,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm -,Mac OS ,2020,tgdd,APPLE MACBOOK AIR 13 INCH M1 2020 8-CORE CPU
 HP,HP 240 G8 I3 1115G4,i3 1115G4,1.47 kg,9.790.000₫ *,,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa,https://cdn.tgdd.vn/Products/Images/44/285962/Slider/vi-vn-hp-240-g8-i3-6l1a1pa-1.jpg,"14"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card tích hợp Intel UHD ,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,HP 240 G8 I3 1115G4
 Acer,ACER ASPIRE 3 A315 57 379K I3 1005G1,i3 1005G1,1.7 kg,7.990.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-3-a315-57-379k-i3-nxkagsv001,https://cdn.tgdd.vn/Products/Images/44/291965/Slider/acer-aspire-3-a315-57-379k-i3-nxkagsv001-acv-1-1020x570.jpg,"15.6"" Full HD (1920 x 1080) ",4 GB DDR4 (Onboard 4 GB +1 khe rời) Từ 2400 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB) ",Card tích hợp Intel UHD ,Dài 363.4 mm - Rộng 250.5 mm - Dày 19.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Aspire 3 A315-56-38B1
 MacBook,APPLE MACBOOK PRO 16 INCH M1 PRO 2021 10 CORE-CPU,Apple M1 Pro 200GB/s ,2.1 kg,58.490.000₫,,https://www.thegioididong.com/laptop/apple-pro-16-m1-pro-2021-10-core-cpu,https://cdn.tgdd.vn/Products/Images/44/253636/Slider/vi-vn-apple-pro-16-m1-pro-2021-10-core-cpu-thumbvideo.jpg,"16.2"" Liquid Retina XDR display (3456 x 2234) 120Hz ",16 GB ,512 GB SSD ,Card tích hợp 16 nhân GPU ,Dài 355.7 mm - Rộng 248.1 mm - Dày 16.8 mm -,Mac OS ,10/2021 ,tgdd,MacBook Pro 16 inch M2 Pro 2023 12CPU 19GPU 32GB
 HP,HP 15S FQ2716TU I3 1115G4,i3 1115G4,1.7 kg,10.490.000₫ *,,https://www.thegioididong.com/laptop/hp-15s-fq2716tu-i3-7c0x3pa,https://cdn.tgdd.vn/Products/Images/44/301634/Slider/vi-vn-hp-15s-fq2716tu-i3-7c0x3pa-slider-1.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,512 GB SSD NVMe PCIe ,Card tích hợp Intel UHD ,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm -,Windows 11 Home SL ,2022,tgdd,HP 15s fq2711TU
 itel,ITEL SPIRIT 1 I3 8109U,i3 8109U,2.1 kg,4.990.000₫ *,,https://www.thegioididong.com/laptop/itel-spirit-1-i3-71006300035,https://cdn.tgdd.vn/Products/Images/44/265530/Slider/vi-vn-itel-spirit-1-i3-71006300035-1.jpg,"15.6"" Full HD (1920 x 1080) ",4 GB DDR4 (Onboard 4 GB +1 khe rời) 2400 MHz ,256 GB SSD M.2 SATA 3 (Có thể tháo ra lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) ,Card tích hợp Intel Iris Plus Graphics 655 ,Dài 365 mm - Rộng 261 mm - Dày 24.9 mm -,Windows 11 Home SL ,2021,tgdd,ITEL SPIRIT 1 I3 8109U
 Asus,ASUS TUF GAMING F15 FX506LHB I5 10300H,i5 10300H,2.3 kg,15.490.000₫ *,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506lhb-i5-hn188w,https://cdn.tgdd.vn/Products/Images/44/279259/Slider/vi-vn-asus-tuf-gaming-fx506lhb-i5-hn188w-1.jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 2933 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card rời GTX 1650 4GB ,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm -,Windows 11 Home SL ,2021,tgdd,Asus TUF Gaming FX506LHB-HN188W
 Acer,ACER ASPIRE 3 A315 58 54XF I5 1135G7,i5 1135G7,1.7 kg,12.490.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-54xf-i5-nxam0sv007,https://cdn.tgdd.vn/Products/Images/44/285764/acer-aspire-3-a315-58-54xf-i5-nxam0sv007-ab-1.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) Từ 2400 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) ",Card tích hợp Intel Iris Xe ,Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Aspire 3 A315-58-54M5
 HP,HP PAVILION 15 EG2082TU I5 1240P,i5 1240P,1.72 kg,16.990.000₫ *,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,https://cdn.tgdd.vn/Products/Images/44/302533/Slider/vi-vn-hp-pavilion-15-eg2082tu-i5-7c0q5pa--(3).jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz ,512 GB SSD NVMe PCIe ,Card tích hợp Intel Iris Xe ,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm -,Windows 11 Home SL ,2022,tgdd,HP Pavilion 15-eg2083TU
 Lenovo,LENOVO IDEAPAD 3 15IAU7 I3 1215U,i3 1215U,1.63 kg,9.990.000₫ *,,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk005lvn,https://cdn.tgdd.vn/Products/Images/44/287769/Slider/vi-vn-lenovo-ideapad-3-15iau7-i3-82rk005lvn-thumbvideo.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card tích hợp Intel UHD ,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,Lenovo IdeaPad 3 14IAU7
 MacBook,APPLE MACBOOK AIR 13 INCH M2 2022 8-CORE CPU,Apple M2 100GB/s ,1.24 kg,32.990.000₫,,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,https://cdn.tgdd.vn/Products/Images/44/282827/Slider/vi-vn-apple-macbook-air-m2-2022-thumbvideo-1.jpg,"13.6"" Liquid Retina (2560 x 1664) ",8 GB ,256 GB SSD ,Card tích hợp 8 nhân GPU ,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm -,Mac OS ,6/2022 ,tgdd,MacBook Air 13 inch M2 2022 8CPU 8GPU 16GB
 Asus,ASUS VIVOBOOK X415EA I3 1115G4,i3 1115G4,1.55 kg,9.790.000₫ *,,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-ek2034w,https://cdn.tgdd.vn/Products/Images/44/304866/Slider/vi-vn-asus-vivobook-x415ea-i3-ek2034w--(2).jpg,"14"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz ,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng ,Card tích hợp Intel UHD ,Dài 325.4 mm - Rộng 216 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,Asus Vivobook X415EA-EK1387W
 Lenovo,LENOVO IDEAPAD 1 15AMN7,Ryzen 5 7520U,1.58 kg,12.690.000₫,,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn,https://cdn.tgdd.vn/Products/Images/44/303562/Slider/vi-vn-lenovo-ideapad-1-15amn7-r5-82vg0061vn-thumbvideo.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB LPDDR5 (Onboard) 5500 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card tích hợp AMD Radeon 610M ,Dài 360.2 mm - Rộng 236 mm - Dày 17.9 mm -,Windows 11 Home SL ,2022,tgdd,Lenovo IdeaPad 1 15AMN7
 MSI,MSI GAMING GF63 THIN 11SC I5 11400H,i5 11400H,1.86 kg,15.490.000₫ *,,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-11sc-i5-664vn,https://cdn.tgdd.vn/Products/Images/44/303500/Slider/vi-vn-msi-gaming-gf63-thin-11sc-i5-664vn--(6).jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz ,512 GB SSD NVMe PCIe Hỗ trợ khe cắm SATA 2.5 inch mở rộng (nâng cấp SSD hoặc HDD đều được) ,Card rời GTX 1650 4GB ,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm -,Windows 11 Home SL ,2022,tgdd,MSI Gaming GF63 Thin 11SC-664VN
 Acer,ACER ASPIRE 3 A315 58 589K I5 1135G7,i5 1135G7,1.7 kg,11.490.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-589k-i5-nxam0sv008,https://cdn.tgdd.vn/Products/Images/44/305600/Slider/vi-vn-acer-aspire-3-a315-58-589k-i5-nxam0sv008--(3).jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) Từ 2400 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) ",Card tích hợp Intel Iris Xe ,Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Aspire 3 A315-57G-573F
 Acer,ACER ASPIRE 7 GAMING A715 42G R05G,Ryzen 5 5500U,2.1 kg,14.990.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-42g-r05g-r5-nhqaysv007,https://cdn.tgdd.vn/Products/Images/44/269533/Slider/acer-aspire-7-gaming-a715-42g-r05g-r5-nhqaysv007-01-1020x570.jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Không hỗ trợ khe cắm HDD Không hỗ trợ khe cắm SSD M2 mở rộng thêm ",Card rời GTX 1650 4GB ,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Aspire Gaming A715-42G-R05G
 Asus,ASUS VIVOBOOK 15 X1502ZA I5 1240P,i5 1240P,1.7 kg,14.990.000₫ *,,https://www.thegioididong.com/laptop/asus-vivobook-15-x1502za-i5-ej120w,https://cdn.tgdd.vn/Products/Images/44/281483/Slider/vi-vn-asus-vivobook-15-x1502za-i5-ej120w-thumbvideo.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác không giới hạn dung lượng) ",Card tích hợp Intel UHD ,Dài 359.7 mm - Rộng 232.5 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,Asus Vivobook X1502ZA-BQ126W
 MacBook,APPLE MACBOOK PRO 13 INCH M2 2022 8-CORE CPU,Apple M2 100GB/s ,1.4 kg,35.990.000₫,,https://www.thegioididong.com/laptop/apple-macbook-pro-13-inch-m2-2022,https://cdn.tgdd.vn/Products/Images/44/282828/Slider/vi-vn-apple-macbook-pro-13-inch-m2-2022-thumbvideo.jpg,"13.3"" Retina (2560 x 1600) ",8 GB ,256 GB SSD ,Card tích hợp 10 nhân GPU ,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm -,Mac OS ,6/2022 ,tgdd,MacBook Pro 13 inch M2 2022 8CPU 10GPU 16GB
 Dell,DELL VOSTRO 3510 I5 1135G7,i5 1135G7,1.69 kg,16.790.000₫,,https://www.thegioididong.com/laptop/dell-vostro-3510-i5-p112f002bbl,https://cdn.tgdd.vn/Products/Images/44/266280/Slider/vi-vn-dell-vostro-3510-i5-p112f002bbl-1.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) ",Card rời MX350 2GB ,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm -,Windows 11 Home SL  ,2021,tgdd,DELL VOSTRO 3510 I5 1135G7
 Lenovo,LENOVO THINKBOOK 14 G3 ACL,Ryzen 5 5500U,1.4 kg,12.990.000₫,,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g3-acl-r5-21a200r0vn,https://cdn.tgdd.vn/Products/Images/44/304427/Slider/vi-vn-lenovo-thinkbook-14-g3-acl-r5-21a200r0vn--(2).jpg,"14"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242)) Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB) ",Card tích hợp Radeon ,Dài 323 mm - Rộng 218 mm - Dày 17.9 mm -,Windows 11 Home SL ,2022,tgdd,Lenovo ThinkBook 14 G3 ACL
 Acer,ACER ASPIRE 3 A315 59 314F I3 1215U,i3 1215U,1.7 kg,9.990.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-314f-i3-nxk6tsv002,https://cdn.tgdd.vn/Products/Images/44/286228/Slider/vi-vn-acer-aspire-3-a315-59-314f-i3-nxk6tsv002-thumbvideo.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) Từ 2400 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB) ",Card tích hợp Intel UHD ,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,Acer Aspire A315-59-321N
 Acer,ACER NITRO 5 GAMING AN515 45 R6EV,Ryzen 5 5600H,2.2 kg,16.990.000₫ *,,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-45-r6ev-r5-nhqbmsv006,https://cdn.tgdd.vn/Products/Images/44/263980/Slider/vi-vn-acer-nitro-5-gaming-an515-45-r6ev-r5-nhqbmsv006-1.jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) ",Card rời GTX 1650 4GB ,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Nitro Gaming AN515-45-R86D
 Dell,DELL VOSTRO 3520 I3 1215U,i3 1215U,1.83 kg,12.490.000₫,,https://www.thegioididong.com/laptop/dell-vostro-3520-i3-v5i3614w1,https://cdn.tgdd.vn/Products/Images/44/305655/Slider/vi-vn-dell-vostro-3520-i3-v5i3614w1--(2).jpg,"15.6"" Full HD (1920 x 1080) 120Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 2666 MHz ,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB) ,Card tích hợp Intel UHD ,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm -,Windows 11 Home SL  ,2022,tgdd,Dell Vostro V3520
 MSI,MSI GAMING GF63 THIN 11UC I5 11400H,i5 11400H,1.86 kg,17.990.000₫,,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-11uc-i5-1230vn,https://cdn.tgdd.vn/Products/Images/44/303499/Slider/vi-vn-msi-gaming-gf63-thin-11uc-i5-1230vn--(3).jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz ,512 GB SSD NVMe PCIe Hỗ trợ khe cắm SATA 2.5 inch mở rộng (nâng cấp SSD hoặc HDD đều được) ,Card rời RTX 3050 4GB ,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm -,Windows 11 Home SL ,2022,tgdd,MSI Gaming GF63 Thin 11UC-1230VN
 HP,HP 245 G9,Ryzen 5 5625U 2.30 GHz ,1.47 kg,11.690.000₫ *,,https://www.thegioididong.com/laptop/hp-245-g9-r5-6l1n9pa,https://cdn.tgdd.vn/Products/Images/44/305769/hp-245-g9-r5-6l1n9pa-glr-1.jpg,"14"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB) ,Card tích hợp Radeon ,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,HP 245 G9
 Asus,ASUS VIVOBOOK X515MA N4020,Celeron N4020,1.8 kg,7.490.000₫,,https://www.thegioididong.com/laptop/asus-vivobook-x515ma-n4020-br480w,https://cdn.tgdd.vn/Products/Images/44/262060/Slider/vi-vn-asus-vivobook-x515ma-n4020-br480w-thumbvideo.jpg,"15.6"" HD (1366 x 768) ",4 GB DDR4 (1 khe) 2400 MHz ,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) 256 GB SSD NVMe PCIe ,Card tích hợp Intel UHD 600 ,Dài 360.2 mm - Rộng 234.9 mm - Dày 19.9 mm -,Windows 11 Home SL ,2021,tgdd,ASUS VIVOBOOK X515MA N4020
 Dell,DELL INSPIRON 15 3520 I5 1235U,i5 1235U,1.9 kg,16.190.000₫,,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5122w1,https://cdn.tgdd.vn/Products/Images/44/296847/Slider/vi-vn-dell-inspiron-15-3520-i5-n5i5122w1-thumbvideo-1.jpg,"15.6"" Full HD (1920 x 1080) 120Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 2666 MHz ,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB) ,Card tích hợp Intel UHD ,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.9 mm -,Windows 11 Home SL  ,2022,tgdd,Dell Inspiron 15 N3520
 Acer,ACER ASPIRE 7 GAMING A715 76G 5132 I5 12450H,i5 12450H,2.1 kg,15.990.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5132-i5-nhqmesv002,https://img.youtube.com/vi/hh0DBdtscqg/maxresdefault.jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB) ",Card rời GTX 1650 4GB ,Dài 362.3 mm - Rộng 237.4 mm - Dày 19.9 mm -,Windows 11 Home SL ,2023,tgdd,Acer Aspire 7 Gaming A715-76-57CY
 HP,HP 240 G9 I5 1235U,i5 1235U,1.47 kg,14.990.000₫ *,,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y1pa,https://cdn.tgdd.vn/Products/Images/44/291153/Slider/vi-vn-hp-240-g9-i5-6l1y1pa-1.jpg,"14"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card tích hợp Intel UHD ,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm -,Windows 11 Home SL ,2022,tgdd,HP 240 G9
 Lenovo,LENOVO IDEAPAD 3 15ITL6 I5 1155G7,i5 1155G7,1.65 kg,14.490.000₫,,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i5-82h803cvvn,https://cdn.tgdd.vn/Products/Images/44/304599/Slider/vi-vn-lenovo-ideapad-3-15itl6-i5-82h803cvvn-slider-1.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242)) ",Card tích hợp Intel Iris Xe ,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm -,Windows 11 Home SL ,2023,tgdd,Lenovo Ideapad 3 15ITL6
 MSI,MSI MODERN 14 C11M I3 1115G4,i3 1115G4,1.4 kg,10.990.000₫ *,,https://www.thegioididong.com/laptop/msi-modern-14-c11m-i3-011vn,https://cdn.tgdd.vn/Products/Images/44/304539/Slider/vi-vn-msi-modern-14-c11m-i3-011vn--(2).jpg,"14"" Full HD (1920 x 1080) ",8 GB DDR4 (Onboard) 3200 MHz ,512 GB SSD NVMe PCIe ,Card tích hợp Intel UHD ,Dài 319.9 mm - Rộng 223 mm - Dày 19.35 mm -,Windows 11 Home SL ,2022,tgdd,MSI Modern 14 C11M-011VN
 Acer,ACER ASPIRE 3 A314 35 C3KS N5100,Celeron N5100,1.45 kg,5.990.000₫ *,,https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-c3ks-n5100-nxa7ssv009,https://cdn.tgdd.vn/Products/Images/44/308490/acer-aspire-3-a314-35-c3ks-n5100-nxa7ssv009-1.jpg,"14"" HD (1366 x 768) ",4 GB DDR4 2 khe (1 khe 4 GB + 1 khe rời) Từ 2400 MHz ,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA ",Card tích hợp Intel UHD ,Dài 328 mm - Rộng 236 mm - Dày 19.9 mm -,Windows 11 Home SL ,2021,tgdd,ACER ASPIRE 3 A314 35 C3KS N5100
 Asus,ASUS VIVOBOOK 15 OLED A1505VA I5 13500H,i5 13500H,1.7 kg,17.490.000₫ *,,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1052w,https://cdn.tgdd.vn/Products/Images/44/304028/Slider/vi-vn-asus-vivobook-15-oled-a1505va-i5-l1052w-thumbvideo.jpg,"15.6"" Full HD (1920 x 1080) OLED ",8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz ,512 GB SSD NVMe PCIe ,Card tích hợp Intel UHD ,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm -,Windows 11 Home SL ,2023,tgdd,Asus Vivobook 15 OLED A1505VA-L1113W
 Lenovo,LENOVO IDEAPAD SLIM 5 LIGHT 14ABR8,Ryzen 5 7530U,1.17 kg,15.990.000₫ *,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-light-14abr8-r5-82xs002kvn,https://cdn.tgdd.vn/Products/Images/44/305673/Slider/vi-vn-lenovo-ideapad-slim-5-light-14abr8-r5-82xs002kvn-thumbvideo.jpg,"14"" Full HD (1920 x 1080) ",16 GB DDR4 (Onboard) 3200 MHz ,512 GB SSD NVMe PCIe Gen 4.0 ,Card tích hợp Radeon ,Dài 324.1 mm - Rộng 215.7 mm - Dày 17.1 mm -,Windows 11 Home SL ,2023,tgdd,Lenovo Ideapad Slim 5 Light 14ABR8
 HP,HP 15S FQ5078TU I5 1235U,i5 1235U,1.69 kg,15.190.000₫ *,,https://www.thegioididong.com/laptop/hp-15s-fq5078tu-i5-6k798pa,https://cdn.tgdd.vn/Products/Images/44/284139/Slider/vi-vn-hp-15s-fq5078tu-i5-6k798pa-thumbvideo.jpg,"15.6"" Full HD (1920 x 1080) ",8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz ,512 GB SSD NVMe PCIe ,Card tích hợp Intel Iris Xe ,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm -,Windows 11 Home SL ,2022,tgdd,HP 15s-fq5163TU
 Dell,DELL INSPIRON 16 5620 I7 1255U,i7 1255U,1.87 kg,22.490.000₫,,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i7-n6i7110w1,https://cdn.tgdd.vn/Products/Images/44/292396/Slider/vi-vn-dell-inspiron-16-5620-i7-n6i7110w1-thumbvideo-1.jpg,"16"" Full HD+ (1920 x 1200) ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) ",Card tích hợp Intel UHD ,Dài 356.7 mm - Rộng 251.9 mm - Dày 17.95 mm -,Windows 11 Home SL  ,2022,tgdd,Dell Inspiron 16 N5620
 Acer,ACER NITRO 5 GAMING AN515 57 5669 I5 11400H,i5 11400H,2.2 kg,17.990.000₫ *,,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-5669-i5-nhqehsv001,https://cdn.tgdd.vn/Products/Images/44/263983/Slider/vi-vn-acer-nitro-5-gaming-an515-57-5669-i5-nhqehsv001-1.jpg,"15.6"" Full HD (1920 x 1080) 144Hz ",8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz ,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB) ",Card rời GTX 1650 4GB ,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm -,Windows 11 Home SL ,2021,tgdd,Acer Nitro Gaming AN515-57-54MV
