Brand,Name,CPU,Weight,Price,OldPrice,Link,ImageLink,Display,RAM,Storage,Graphics Card,Size,OS,Manufacturing Year,Source,Matching Group
LENOVO,Lenovo IdeaPad 5 15ABA7," Ryzen 5, 5625U",1.85 kg,12.990.000₫,17.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-5-15aba7-r5-5625u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/7/638007562324497728_lenovo-ideapad-5-15aba7-xam-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, IPS LCD LED Backlit, True Tone","8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,356.67 x 233.13 x 16.9 mm,Windows 11 Home,2022,fptshop,Lenovo IdeaPad 5 15ABA7
ACER,Acer Aspire 3 A315-56-38B1," i3, 1005G1",1.7 kg,7.990.000₫,8.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-56-38b1-i3-1005g1,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/5/637820776349586472_acer-aspire-3-a315-54-56-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, LED Backlit","4 GB (1 thanh 4 GB), DDR4, 2400 MHz",SSD 256 GB,Intel UHD Graphics,363 x 248 x 19.9 mm,Windows 11 Home Single Language,2021,fptshop,Acer Aspire 3 A315-56-38B1
LENOVO,Lenovo Ideapad 3 15ITL6," i5, 1155G7",1.65 kg,11.390.000₫,13.690.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15itl6-i5-1155g7,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/11/638168334502914355_lenovo-ideapad-3-15itl6-i5-1155g7-xam-3.jpg,"15.6 inch, 1920 x 1080 Pixels, TN, Hãng không công bố, 250 nits, Anti-Glare LED-Backlit Display","8 GB, DDR4, 3200 MHz",SSD 256 GB,Intel Iris Xe Graphics,359.2 x 236.5 x 19.9 mm,Windows 11 Home Single Language,2022,fptshop,Lenovo Ideapad 3 15ITL6
HP,HP 15s-fq5144TU," i7, 1255U",1.69 kg,18.990.000₫,22.890.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5144tu-i7-1255u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/7/11/637931467775595338_hp-15s-fq-bac-win11-1.jpg,"15.6 inch, 1920 x 1080 Pixels, WVA, 60 Hz, 250 nits, Wide-Viewing Angle (WVA)","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,None,"35,85 x 24,2 x 1,79 cm",Windows 11 Home Single Language,,fptshop,HP 15s-fq5144TU
HP,HP 240 G9," i5, 1235U",1.41 kg,15.390.000₫,18.790.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-240-g9-i5-1235u-6l1y2pa,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/3/638134647807424561_hp-240-g9-bac-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, Hãng không công bố, IPS","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,32.4 x 22.59 x 1.99 (W x D x H) cm,Windows 11 Home Single Language,2022,fptshop,HP 240 G9
ASUS,Asus TUF Gaming FX706HC-HX579W," i5, 11400H",2.6 kg,19.490.000₫,26.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx706hc-hx579w-i5-11400h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/5/637979643267415257_asus-tuf-gaming-fx706hc-hx579w-i5-11400h-xam-1.jpg,"17.3 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS LCD LED Backlit","8 GB, DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, Intel UHD Graphics",399 x 269 x 23.3 mm,Windows 11 Home,2022,fptshop,Asus TUF Gaming FX706HC-HX579W
HP,HP Pavilion 14-dv2073TU," i5, 1235U",1.41 kg,18.490.000₫,20.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2073tu-i5-1235u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/11/638168307037428356_hp-pavilion-14-dv2073tu-i5-1235u-vang-4.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, IPS","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,None,"32,5 x 21,66 x 1,7 cm",Windows 11 Home Single Language,,fptshop,HP Pavilion 14-dv2073TU
CHUWI,CHUWI GemiBook Pro Celeron N5100," Celeron, N5100",1.5 kg,5.990.000₫,9.590.000₫,https://fptshop.com.vn/may-tinh-xach-tay/chuwi-gemibook-pro-n5100,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/12/11/637748121537690774_chuwi-gemibook-pro-den-1.jpg,"14.0 inch, 2160 x 1440 Pixels, IPS, 60 Hz","8 GB, LPDDR4X, 2133 MHz",SSD 256 GB,Intel UHD Graphics 600,Trung Quốc,Windows 10 Home,,fptshop,CHUWI GemiBook Pro Celeron N5100
ACER,Acer Nitro Gaming AN515-45-R86D," Ryzen 7, 5800H",2.2 kg,21.990.000₫,32.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-45-r86d-r7-5800h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/15/637961789064693741_acer-nitro-gaming-5-an515-45-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView LED-backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3060 6GB, AMD Radeon Graphics",363.4 x 255 x 23.9 mm,Windows 11 Home,2021,fptshop,Acer Nitro Gaming AN515-45-R86D
LENOVO,Lenovo IdeaPad 3 14IAU7," i3, 1215U",1.63 kg,10.390.000₫,14.790.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iau7-i3-1215u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/7/638007472961756224_lenovo-ideapad-3-14iau7-xanh-2.jpg,"14.0 inch, 1920 x 1080 Pixels, TN, 60 Hz, 250 nits, LED Backlit","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,359.2 x 236.5 x 19.9 mm,Windows 11 Home,2022,fptshop,Lenovo IdeaPad 3 14IAU7
