ID,Brand,Name,Price,Old Price,Link,ImageLink,CPU,Display,RAM,Graphics Card,Storage,OS,Battery,Weight
1,ASUS,ASUS S533EQ-BQ429W,24.590.000₫,25.990.000₫,https://phongvu.vn/asus-vivobook-s533eq-bq429w-i7-1165g7--s220200372,https://lh3.googleusercontent.com/64-8-CwVgRfzQjMOFJc2nUl2JAscm7HRX0COohFz_6Nk2TiUMV0QV6083FaJxF8-AzsiB7kDVLhG6m6UVAaLWfrKYACd8FSt=w500-rw,Intel Core i7-1165G7,"15.6"" IPS (1920 x 1080)",16GB Onboard DDR4 2666MHz,GeForce MX350 2GB GDDR5 / Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
2,ASUS,ASUS S533EA-BN462W,17.690.000₫,18.490.000₫,https://phongvu.vn/asus-vivobook-s533ea-bn462w--s220200732,https://lh3.googleusercontent.com/nHB_Yxy9tdTiSD-CLj6mqXjBraXuKfbpOhzySK7J1yqo2PdgsdBM2wWdWiPhbTurqpq85t0bFoHEIWleeQ-xfa2sJtszQ1E=w500-rw,Intel Core i5-1135G7,"15.6"" IPS (1920 x 1080)",8GB Onboard DDR4,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
3,ASUS,ASUS UX482EA-KA397W,31.490.000₫,32.990.000₫,https://phongvu.vn/asus-zenbook-ux482ea-ka397w--s220200733,https://lh3.googleusercontent.com/NVkTLRf8SM4eemDe9mTFJLSvIc8YwwGjK8NBW1TFFR0rBJJxwoZZsBZFeXee1UxMCv5ob09BWvAXP0O7Wmu3cmQljGadp-Y0=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",8GB Onboard LPDDR4X,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.6kg,1.6kg
7,Máy,Máy tính xách tay/  Acer Aspire 7 A715-41G-R150,16.060.000₫,21.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-7-a715-41g-r150-nh-q8ssv-004-amd-ryzen-7-3750h-den-hang-trung-bay--s220200834,https://lh3.googleusercontent.com/WHuQtSgd-p6_IEe4AkiBDv-jfjb6tFRGEw64wx_TPTBMX6K0XN0T7sO8XoM4Yg8VNXgMhWM3NK19pa42Al2Mgn1C5mXQCo0=w500-rw,AMD Ryzen 7 3750H,"15.6"" IPS (1920 x 1080)",1 x 8GB DDR4 2400MHz,GTX 1650Ti 4GB GDDR6 / AMD Radeon Vega 10 Graphics,512GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Hệ điều hành: Windows 10 Home 64-bit,null
8,Máy,Máy tính xách tay/  Acer Aspire A515-53-330E,5.000.000₫,11.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-a515-53-330e-nx-h6csv-001-i3-8145u-bac-hang-trung-bay--s220200877,https://lh3.googleusercontent.com/TrZE-rb2nNKAHiVdyAPX2c5Lt4PGU7rYag16l6cD5GRM6WwLKaN9uZDklphb58d0mKUJ9cFtQj6hDW-I7wHyN3aNSxi6JSk=w500-rw,"Intel Core i3-8145U ( 2.1 GHz - 3.9 GHz / 4MB / 2 nhân, 4 luồng )","15.6"" ( 1920 x 1080 ) , không cảm ứng",1 x 4GB Onboard DDR4,Intel UHD Graphics 620,1TB HDD 5400RPM,Linux,"- Pin: 3 cell 61 Wh Pin liền , khối lượng: 2.1 kg", 2.1 kg
10,HP,HP 240 G8,12.490.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-240-g8-617m3pa-i3-1005g1-bac--s220201082,https://lh3.googleusercontent.com/LCIC5Z4ePgeGltl_eXFO4WOK17wv2zcO4MC_IFuteaM7rT6YcuIaewwJl7MgkOacXyUCFgjw6CVFJIAzxdSLiSIoZ71bgPmC=w500-rw,Intel Core i3-1005G1,"14"" IPS (1366 x 768)",4GB DDR4 2666MHz,Onboard Intel UHD Graphics,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.5kg,1.5kg
11,HP,HP ProBook 450 G8,20.990.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-probook-450-g8-614k3pa-i5-1135g7-bac--s220201085,https://lh3.googleusercontent.com/it9AysJiCr0qGxxivNUPF7nR4Njhplz-r8iO3h8Hv8hCtnznIEvJdZALjPeK7gzbMoh7SXxJLCbha5W97ZK88Oet9zL89r0=w500-rw,Intel Core i5-1135G7,"15.6"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
12,ASUS,ASUS Vivobook S433EA-AM2307W,17.490.000₫,18.490.000₫,https://phongvu.vn/asus-vivobook-s433ea-am2307w--s220201088,https://lh3.googleusercontent.com/98i5QRJmMrInyGJpXV_HE3XadRbtnYpge6hF27jUHyx03aO8JQgwIj2-ksWtR1BAOVo3SCbtr_LSoILI6Du2ZHwigo27nBg=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",1 x 8GB Onboard DDR4 2666MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.4kg,1.4kg
13,ASUS,ASUS Vivobook X515EP-EJ405W RAM 8GB/512GB SSD/,16.690.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-x515ep-ej405w-i5-1135g7-bac--s220201807,https://lh3.googleusercontent.com/maZVa6DVjMqzbPs_R0-NOUrnhGxh3Pz-KIbpoN_rjAKLv-EooTIPk-Zx323DBiHwfshYi8c2TwcN4-zqS4rjtBaDaNVh8GwSFA=w500-rw,Intel Core i5-1135G7,"15.6"" (1920 x 1080)",8GB (4GB + 4GB Onboard) DDR4,NVIDIA GeForce MX330 2GB GDDR5 / Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
14,Máy,Máy tính xách tay/  Acer Aspire 3 A315-56-502X,10.200.000₫,14.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a315-56-502x-nx-hs5sv-00f-i5-1035g1-den-hang-trung-bay--s220201864,https://lh3.googleusercontent.com/zIneJyaNrOuuXimJ51JpND5p1Q9WDlE7VxvDPASfrmb1yol4tmE9Hs0F_UJQyW28YK6judIacrCPvc6RX1RTmeUt34jykcPQ=w500-rw,Intel Core i5-1035G1,"15.6"" IPS (1920 x 1080)",1 x 4GB Onboard DDR4 2400MHz,Onboard Intel UHD Graphics,256GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1.7kg,1.7kg
17,HP,HP VICTUS 16-e0177AX,22.990.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-16-e0177ax-4r0u9pa-amd-ryzen-5-5600h-den--s220202048,https://lh3.googleusercontent.com/DYNZIMfeWaMuqoOJvftV6cVXy6R2HkyUwEjMhcRUMdiMTb9Ur97Hxktxetv3iMme6ipR9Wknxf7GmnErLrxUH_m1qJojuk6yFg=w500-rw,AMD Ryzen 5 5600H,"16.1"" IPS (1920 x 1080),144Hz",2 x 4GB DDR4 3200MHz,GTX 1650 4GB GDDR6 / AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 11,- Khối lượng: 2.4kg,2.4kg
18,Máy,Máy tính xách tay/  Lenovo Thinkpad E470-20H10034VN,8.250.000₫,16.490.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-thinkpad-e470-20h10034vn-i5-7200u-den-hang-trung-bay--s220202290,https://lh3.googleusercontent.com/pHDpE5S7C-sESFEiehf4uNuAcP01jb6IrEIIWpwUsFK_PyhEPTJoFAzPzWcnRZINMoxzxswhDXAUUrt2i3OH7bYpd8zh1udu=w500-rw,"Intel Core i5-7200U ( 2.5 GHz - 3.1 GHz / 3MB / 2 nhân, 4 luồng )","14"" ( 1366 x 768 ) , không cảm ứng",1 x 4GB DDR4 2400MHz,Intel HD Graphics 620,500GB HDD 7200RPM,Windows 10 Home SL 64-bit,"- Pin: 6 cell 45 Wh , khối lượng: 1.9 kg", 1.9 kg
20,Máy,Máy tính xách tay/  Acer Aspire A515-53-3153,8.030.000₫,11.990.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-a515-53-3153-nx-h6bsv-005-i3-8145u-bac-hang-trung-bay--s220202399,https://lh3.googleusercontent.com/i1CqHvIsAcZAoWkgm9T9kJDfgIEv5oPS3ZLnA4bAZhhdGQJbcCUSUTtfDlquKahT-eRdxCw-YAOvLQw_qB5tCS3rt5EdwxY=w500-rw,Intel Core i3-8145U,"15.6"" ( 1920 x 1080 ) , không cảm ứng",1 x 4GB Onboard DDR4 2133MHz,Intel UHD Graphics 605,1TB HDD 5400RPM,Windows 10 Home SL 64-bit,- Hệ điều hành: Windows 10 Home SL 64-bit,null
23,GIGABYTE,GIGABYTE AERO 16 XE5-73VN938AH,46.390.000₫,46.990.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-gigabyte-aero-16-xe5-73vn938ah-i7-12700h-den--s220202603,https://lh3.googleusercontent.com/qYBG3tmnTSlQjeVDm10bYLOG1AEViOEChcE5m5TGsRooSR2XaRlzBNQEX0Fnk6gPJ2lG2FlJ9KI9C0kNjffawlF7xEP6nVMT=w500-rw,Intel Core i7-12700H,"16"" (3840 x 2160)",2 x 8GB DDR5 4800MHz,RTX 3070Ti 8GB GDDR6 / Intel Iris Xe Graphics,2 x 1TB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 2.3kg,2.3kg
24,ASUS,ASUS Vivobook Pro M3500QC-L1388W,25.790.000₫,26.990.000₫,https://phongvu.vn/asus-vivobook-pro-m3500qc-l1388w--s220202625,https://lh3.googleusercontent.com/xxTsT5MmMGVDI9uNVQ4-5YWjhCavDMwSpOTx_MucqvhBONvoQ3wyyUx63QcLMu99M19uLkkQq_adYwYXJFdWSfiXidXNlmI=w500-rw,AMD Ryzen 5 5600H,"15.6"" OLED (1920 x 1080)",16GB Onboard DDR4,RTX 3050 4GB GDDR6 / AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.7kg,1.7kg
25,Dell,Dell Alienware M15 R6,61.990.000₫,null,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-alienware-m15-r6-p109f001dbl-i7-11800h-den--s220202627,https://lh3.googleusercontent.com/MTSxaobR1EUohVOU4C4ht3zZ1A0CuyoutiKJcoJ9tTe90h6uBj0o23QaoigOxGDRT8KuRB5oRNMdaLv4ii90sMJUiOVTcYFY=w500-rw,Intel Core i7-11800H,"15.6"" WVA (1920 x 1080)",2 x 16GB DDR4 3200MHz,RTX 3060 6GB GDDR6 / Intel UHD Graphics,1TB SSD M.2 NVMe /,Windows 11 Home SL + Office Home & Student 2019,- Khối lượng: 2.7kg,2.7kg
26,Dell,Dell Alienware M15 R6,51.990.000₫,64.990.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-alienware-m15-r6-p109f001cbl-i7-11800h-den--s220202631,https://lh3.googleusercontent.com/AZofVSPY0YKpyh9jcpNAV95Tc23AIQ0wJQQEDHoTfRhsb9pIBehPQwofJthigKCUR7iW2Gt_fs1iQt9rzaF_-nr1Ptm3fghB=w500-rw,Intel Core i7-11800H,"15.6"" WVA (2560 x 1440),240Hz",2 x 16GB DDR4 3200MHz,RTX 3060 6GB GDDR6 / Intel UHD Graphics,1TB SSD M.2 NVMe /,Windows 11 Home SL + Office Home & Student 2019,- Khối lượng: 2.7kg,2.7kg
27,ACER,ACER Predator Triton 300 PT315-53-7440,36.990.000₫,null,https://phongvu.vn/laptop-acer-predator-triton-300-pt315-53-7440-nh-qdrsv-003--s220300222,https://lh3.googleusercontent.com/34aNUt_-r9-1kTmS_hHGG3KfxbFupq3IMG8R_xhuO03VcItyg0c_HsSBr1OzE6E2ES1VvAkSVrHsglYjng7stiUEVntdygW2=w500-rw,Intel Core i7-11800H,"15.6"" IPS (2560 x 1440),165Hz",8GB DDR4 3200MHz,RTX 3050Ti 4GB GDDR6 / Intel UHD Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 2kg,2kg
28,HP,HP Probook 430 G8,12.990.000₫,19.990.000₫,https://phongvu.vn/laptop-hp-probook-430-g8-614k8pa--s220300345,https://lh3.googleusercontent.com/yEa-tpsWYYoO9YryljLw2VbfMxk5vhrtV5UgR2pKORef-usjYJLZpJWAul4rPkyJGIPztZaiRe6t6YknYSzF2oINWlKMzjRK0A=w500-rw,Intel Core i5-1135G7,"13.3"" (1920 x 1080)",1 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,256GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.2kg,1.2kg
29,HP,HP Probook 430 G8,21.490.000₫,null,https://phongvu.vn/laptop-hp-probook-430-g8-614l0pa--s220300346,https://lh3.googleusercontent.com/rZ5Kf8ZZqvbpAkdNjOZ9BHZunbAuvT3f_SjtI6esbK3AiXLcFY9k4t8IhXONv2mec6NSQ-f_1slNX3Rb0wZlxSBOC73mAa9B=w500-rw,Intel Core i5-1135G7,"13.3"" (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.3kg,1.3kg
30,ASUS,ASUS ROG Strix Scar G733ZX-LL016W,90.590.000₫,95.990.000₫,https://phongvu.vn/asus-rog-strix-scar-g733zx-ll016w--s220300641,https://lh3.googleusercontent.com/T32a5e_46q_hY571tZ4b4Eo_26K1njGZhvG5IJjTFhicrSKrxcrsl9rFYpT4VWmgN1OMXEmEUEGikBHSMZ-NzvsEfOYVYHJD=w500-rw,Intel Core i9-12900H,"17.3"" IPS (2560 x 1440),240Hz",2 x 16GB DDR5 4800MHz,RTX 3080Ti 16GB GDDR6 / Intel Iris Xe Graphics,1TB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 2.9kg,2.9kg
31,ASUS,ASUS ExpertBook B1400CEAE-EK3009T,18.790.000₫,19.890.000₫,https://phongvu.vn/asus-expertbook-b1400ceae-ek3009t--s220300642,https://lh3.googleusercontent.com/rQl0k19tIfvLIQd4Faf5Jk-G3FpDHaVethwpwVtFy7_9vxpnl2bUnSzoz1oskM5LMy6PkotgICdXdA-z1BQ6LElxE29hIfTTnw=w500-rw,Intel Core i5-1135G7,"14"" (1920 x 1080)",1 x 8GB Onboard DDR4 2666MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1.4kg,1.4kg
32,ASUS,ASUS ExpertBook L1500CDA-EJ0531T,12.990.000₫,null,https://phongvu.vn/asus-expertbook-l1500cda-ej0531t--s220300644,https://lh3.googleusercontent.com/LFv5tnapd3X7bWC4xLuDzomb51DDM7FjT4adni2uFBWbF_i8vMIA4qpgT4nU-oEqFd3HK4oelquzIxKzty7-Kc9EB7r_NlEuxg=w500-rw,AMD Ryzen 3 3250U,"15.6"" (1920 x 1080)",1 x 4GB Onboard DDR4 2666MHz,Onboard AMD Radeon Graphics,256GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1.7kg,1.7kg
33,ASUS,ASUS ExpertBook B1500CEAE-EJ2646T,19.390.000₫,null,https://phongvu.vn/asus-expertbook-b1500ceae-ej2646t--s220300645,https://lh3.googleusercontent.com/DVp5j9qrs8UgqMDsjjDW6-QkUSUbOU47vh1SfmE6gAlNAniPn1UCnbg7BGxN-D-tnw6DXn40lxRow9eLb_X_Ncxt8ZenvWpErg=w500-rw,Intel Core i5-1135G7,"15.6"" (1920 x 1080)",1 x 8GB Onboard DDR4 2666MHz,Onboard Intel Iris Xe Graphics,256GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1.7kg,1.7kg
34,ASUS,ASUS Vivobook Flip TM420UA-EC182W,20.490.000₫,null,https://phongvu.vn/asus-vivobook-flip-tm420ua-ec182w--s220301166,https://lh3.googleusercontent.com/QBhAdMchz0gGm-0UuLfpSnPXtWQxKAdqwaVTpqNyqAfyotyyzHW7Tg_3XDGJzzrlwAeVYg8Eb_fiqIKAoiDFT3g6FMMNWqkj2g=w500-rw,AMD Ryzen 7 5700U,"14"" IPS (1920 x 1080)","1 x 4GB, 1 x 4GB Onboard DDR4",Onboard AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.5kg,1.5kg
35,MSI,MSI Modern 15 A11M-1024VN,12.990.000₫,16.990.000₫,https://phongvu.vn/laptop-msi-modern-15-a11m-1024vn--s220301275,https://lh3.googleusercontent.com/AuqhERmRG5UzcXhYp4bksbuNkPecHQzTdlBN8COMmC866UWUcKE9P3DnEOFsWjB64G8UYAZJbrvpNgeec3M664cagmbuJXtt=w500-rw,Intel Core i5-1155G7,"15.6"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11,- Khối lượng: 1.6kg,1.6kg
36,MacBook,MacBook Pro 2022 14 inch Z15H000VP,99.990.000₫,null,https://phongvu.vn/macbook-pro-14-inch-z15h000vp--s220302861,https://lh3.googleusercontent.com/97AjbUO6bWCRxsnvSMod4aUOaUxPmBtx2yaCyLWGYm6U6SjI2ag8clQErMPKqmjwWHpRe6HhWyToS3kP-jAJFNxnEBldMv0=w500-rw,Apple M1 Max,"14"" (3024 x 1964)",32GB,Onboard,1TB SSD /,macOS,- Khối lượng: 1.6kg,1.6kg
37,HP,HP ProBook 635 Aero G8,17.590.000₫,null,https://phongvu.vn/laptop-hp-probook-635-aero-g8-46j48pa-bac--s220302879,https://lh3.googleusercontent.com/ZjR1Dc2GjMPO5ZC9tOM3yEqMNNg_vy7CnXHaFx6HYWjVH_nY5XVaYn2d70_KWFV0ZLFyeYKFMRjjF7OXZTQDAmPoTUarygGp=w500-rw,AMD Ryzen 3 5400U,"13.3"" IPS (1920 x 1080)",1 x 4GB DDR4 3200MHz,Onboard AMD Radeon Graphics,256GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1kg,1kg
38,HP,HP ProBook 635 Aero G8,21.990.000₫,null,https://phongvu.vn/laptop-hp-probook-635-aero-g8-46j50pa-bac--s220302880,https://lh3.googleusercontent.com/N3Kg7p10XQACwXBJ4lH3ex4vdxDxBMKL6OLLH2PFvWT2rs4-rxshR78h_6PCtszQ8V5jKoBlzy7VjjUWWPaCNSMpJFsHK6t7=w500-rw,AMD Ryzen 5 5600U,"13.3"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard AMD Radeon Graphics,256GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1kg,1kg
39,HP,HP ProBook 635 Aero G8,22.890.000₫,null,https://phongvu.vn/laptop-hp-probook-635-aero-g8-46j51pa-bac--s220302881,https://lh3.googleusercontent.com/_Wl76hAQqWslg7FT7EBLfcYfHfkwgbJXhfrTV3Zx-iAwGnY-LgFUal2Vebms3V9tPJydIOGCFmcIEtCi2KWRLUr05Yr6c-sYHQ=w500-rw,AMD Ryzen 5 5600U,"13.3"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1kg,1kg
40,HP,HP ProBook 635 Aero G8,26.290.000₫,null,https://phongvu.vn/laptop-hp-probook-635-aero-g8-46j52pa-bac--s220302882,https://lh3.googleusercontent.com/xyS_ix5JpwzHemO9_AUN5G_NqnU9HNVAZiQjQSeGIf6r8mHBx3Xtf6b6NLQ6RZgQqarq4WcBosiguKg28XlOzeLpDXcSfnyu=w500-rw,AMD Ryzen 7 5800U,"13.3"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1kg,1kg
43,Máy,Máy tính xách tay/  HP ProBook 440 G8,13.990.000₫,20.890.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-probook-440-g8-2h0s7pa-i5-1135g7-bac-hang-trung-bay--s220303007,https://lh3.googleusercontent.com/peTSDlHggq3jIuEvf6cO0K15ftfO48SDNQvzZOG5L3pKjMUlNFdaUjsIhTxAdUdFIDbtV22KlWj9TGoqtcKtsyqUXSfWu4WE=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Intel Iris Xe Graphics,512GB SSD /,Windows 10 Home 64-bit,- Khối lượng: 1.3kg,1.3kg
44,Máy,Máy tính xách tay/  Asus Vivobook Flip TM420UA-EC022T,15.290.000₫,18.190.000₫,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-vivobook-flip-tm420ua-ec022t-amd-ryzen-5-5500u-den-hang-trung-bay--s220303022,https://lh3.googleusercontent.com/-UMDb4qLqv3vY__WLidoIpFfP_DbVL_I9kwrAz_cCk98o0oKWrv53Ut37BrZfizaAg491flhYn_5ccSB3g74O_ORU41a0PD4yw=w500-rw,AMD Ryzen 5 5500U,"14"" IPS (1920 x 1080)",8GB (4GB + 4GB Onboard) DDR4 3200MHz,AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 1.5kg,1.5kg
46,MSI,MSI Stealth GS66 12UGS-227VN,69.990.000₫,null,https://phongvu.vn/laptop-msi-stealth-gs66-12ugs-227vn--s220303101,https://lh3.googleusercontent.com/itRwsxbksBjH0KG6qXLfhNnPG3_0rcadj-vITGz6bVXTiIrivi8QYBFkl9NbGbLEeEO2Rq7mDkfrDO9jdEsMSWbLbDiezps=w500-rw,Intel Core i7-12700H,"15.6"" IPS (2560 x 1440)",2 x 16GB DDR5 4800MHz,RTX 3070Ti 8GB GDDR6 / Intel Iris Xe Graphics,1TB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 2.1kg,2.1kg
47,MacBook,MacBook Pro 2022 14 inch Z15G001MP,89.990.000₫,null,https://phongvu.vn/macbook-pro-14-inch-z15g001mp--s220303619,https://lh3.googleusercontent.com/61FSZotVjYgbjAopz1aZ4l-5WaH2E3c8OHVUcG_5XSzIRTq_DcCrVJ9nb_wWtLWWQNHj4ojF853hPP7vAI0A11I1UfrD9QH8=w500-rw,Apple M1 Pro,"14"" (3024 x 1964)",32GB,Onboard,512GB SSD /,macOS,- Khối lượng: 1.6kg,1.6kg
48,HP,HP OMEN 16-b0176TX,49.990.000₫,null,https://phongvu.vn/laptop-hp-omen-16-b0176tx-5z9q7pa-den--s220303781,https://lh3.googleusercontent.com/oS8Z1v4U9Z9ibe4AENgxVHiC8xaJBmUVUV0PcJkAkJHJ2EyblfZ-2jiaxo1f0AGlj8XTg1k3-MywX1wgblVKnQ8jksVqd_EX=w500-rw,Intel Core i7-11800H,"16.1"" IPS (1920 x 1080),144Hz",2 x 8GB DDR4 3200MHz,RTX 3060 6GB GDDR6 / Intel UHD Graphics,1TB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 2.3kg,2.3kg
49,GIGABYTE,GIGABYTE Aorus 17 XE5-73VN534GH,52.490.000₫,54.990.000₫,https://phongvu.vn/laptop-gigabyte-aorus-17-xe5-73vn534gh-den--s220304758,https://lh3.googleusercontent.com/l7ArYqqtvUuxM8mPvXFZTCp8eqBfVmbo1cWEGZotVYFN0wWkR5UM005-WWu_NBf5SPqAGLUonDl5fZ9t8WtAFIj5gDs0IL8Dog=w500-rw,Intel Core i7-12700H,"17.3"" IPS (1920 x 1080),360Hz",2 x 8GB DDR5 4800MHz,RTX 3070Ti 8GB GDDR6 / Intel Iris Xe Graphics,1TB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 2.7kg,2.7kg
50,ASUS,ASUS TUF Gaming FX706HC-HX105W,26.490.000₫,null,https://phongvu.vn/asus-tuf-gaming-fx706hc-hx105w--s220400071,https://lh3.googleusercontent.com/shClr6CVlNsIdgNClHIJ2Cji7coT_0vZXFdC-HlK-14-ozVPOxJrEVl4OMA-9TGn-iceXmY2knq7liP5CQVYekpGe8pKBCKE=w500-rw,Intel Core i5-11400H,"17.3"" IPS (1920 x 1080),144Hz",1 x 8GB DDR4 3200MHz,RTX 3050 4GB GDDR6 / Intel UHD Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 2.6kg,2.6kg
51,HP,HP Pavilion Aero 13-be0229AU,23.590.000₫,25.490.000₫,https://phongvu.vn/laptop-hp-pavilion-aero-13-be0229au-bac--s220400253,https://lh3.googleusercontent.com/r6yoy5xAmZNkisoHBiFLAmOdbydEFeuNnnQimIcViLHap8hx97zUYb1K4UWfLhSmVbjGLhpyNUS_GLlxJhvS6kKDjVrbUg_j=w500-rw,AMD Ryzen 7 5800U,"13.3"" IPS (1920 x 1080)",8GB Onboard DDR4 3200MHz,Onboard AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 0.9kg,0.9kg
52,ASUS,ASUS Vivobook D515DA-EJ1364W,10.990.000₫,null,https://phongvu.vn/asus-vivobook-d515da-ej1364w--s220400308,https://lh3.googleusercontent.com/gqnpj6LvlhUuS9P8w0nPFvfHfmH3bHR30XCXsCSiMJed8DRc_PFdts6Nt6JYJUVKF8VLWEQY_ZZF0kia03dFpgwzkZte3c0=w500-rw,AMD Ryzen 3 3250U,"15.6"" (1920 x 1080)",1 x 4GB Onboard DDR4,Onboard AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 11,- Khối lượng: 1.8kg,1.8kg
53,APPLE,"APPLE MacBook Pro 14""",109.990.000₫,null,https://phongvu.vn/laptop-macbook-pro-14-inch-z15h000vq-xam--s220400335,https://lh3.googleusercontent.com/VKOxDjqtBQ8ULfsKV1UVDvQfw_b1RAcZam0Vw8ikj3-qiPFh7_nob9VDA-HVTYc_AzXfvumHmRzCfSNOJdEseo1W04PxqHg=w500-rw,Apple M1 Max,"14"" (3024 x 1964)",32GB,Onboard,1TB SSD /,macOS,- Khối lượng: 1.6kg,1.6kg
54,Dell,Dell Inspiron 15 3511,13.490.000₫,null,https://phongvu.vn/dell-inspiron-15-3511-i3--s220400401,https://lh3.googleusercontent.com/hChbQTF3sFmthE8XnIk_3jUvgiLGqru9GutTi43hZKf3Qn82VJ4YaHlTCTKy-KeQCedwZl9suFC7vc9IBezuW7vay4VHiDI5CA=w500-rw,Intel Core i3-1115G4,"15.6"" WVA (1920 x 1080)",1 x 8GB DDR4 2666MHz,Onboard Intel UHD Graphics,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.7kg,1.7kg
55,Dell,Dell Inspiron 15 3511,19.290.000₫,null,https://phongvu.vn/dell-inspiron-15-3511-i5-1135g7--s220400402,https://lh3.googleusercontent.com/HyU0AywosHrUCbimVUQCiA5_7YnKWNQj0LGJOFW3GTetM5oVzCYJ-QhYY3tMI2MxjsKlkj_QdkMETLhTgItYVcRFYn9b4Jhm=w500-rw,Intel Core i5-1135G7,"15.6"" WVA (1920 x 1080)",1 x 8GB DDR4 2666MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL + Office Home & Student 2021,- Khối lượng: 1.9kg,1.9kg
