ID,Brand,Name,Price,Old Price,Link,ImageLink,CPU,Display,RAM,Graphics Card,Storage,OS,Battery,Weight
85,Lenovo,Lenovo Thinkbook 14 G2 ITL-20VD00Y4VN,17.790.000₫,18.990.000₫,https://phongvu.vn/lenovo-thinkbook-14-g2-itl-20vd00y4vn--s220500211,https://lh3.googleusercontent.com/gRjj-bWhr7kCUWFacFPsJ94WstP6rc8vpJGlmJzaajnhKD-P86CMaufuEh7pV7Jqzron6mvSCFliuacWJLqHiZxRLo7mwg9hEw=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",8GB Onboard DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.4kg,1.4kg
86,ACER,ACER Predator Helios 300 PH315-55-751D,57.290.000₫,59.990.000₫,https://phongvu.vn/acer-predator-helios-ph315-55-751d--s220500383,https://lh3.googleusercontent.com/EbzNkaw0Zb9rQ41Zs4M0jqhO5Dpk9HxTUTncSLwr8Tea220JHWjLkFV9yzyKcGjcDcLHRX9wNYqKK5OLzzlBpOAaCFVluCxN0w=w500-rw,Intel Core i7-12700H,"15.6"" IPS (2560 x 1440),165Hz",2 x 8GB DDR5 4800MHz,RTX 3070Ti 8GB GDDR6 / Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 2.4kg,2.4kg
87,ACER,ACER Nitro 5 AN515-57-71H1,34.390.000₫,35.990.000₫,https://phongvu.vn/acer-nitro-5-an515-57-71h1--s220500384,https://lh3.googleusercontent.com/N-nl2DeIEbQ5euFGYfhDfUc09qjR6DbmqptR96LYJqKXz8z6a_9ZfORAYT8y5kIb-O1jiQzVoP_-1vkGUGpPVkTUyFxSe9ia=w500-rw,Intel Core i7-11800H,"15.6"" IPS (1920 x 1080),144Hz",2 x 8GB DDR4 3200MHz,RTX 3060 6GB GDDR6 / Intel UHD Graphics,512GB SSD M.2 NVMe /,Windows 10 Home 64-bit,- Khối lượng: 2.2kg,2.2kg
88,HP,HP ProBook 440 G8,19.490.000₫,null,https://phongvu.vn/laptop-hp-probook-440-g8-i5-614f5pa--s220500534,https://lh3.googleusercontent.com/XG0pDK6bLDAn9h-lKsrT0gOh_VmjSh14Dwk6gFCFIhZ74JNqU7Aab70w2QaFbO7voQgNi4Do2CSIl0LqRWPvvBlaqOxS2Z8=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",1 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.3kg,1.3kg
89,HP,HP ProBook 440 G8,20.890.000₫,null,https://phongvu.vn/laptop-hp-probook-440-g8-i5-614f5pa--s220500535,https://lh3.googleusercontent.com/ZS0fHqQN2ntKMjRhSuHpu4vMWvyvDZaJxr6f87pA_o2i3v-Rs_qxhGxZP2k7Xey5RO0aMmZ_9aAc-yIdfSdW70tgy9PkeCT2iQ=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.3kg,1.3kg
90,HP,HP ProBook 440 G8,24.990.000₫,null,https://phongvu.vn/laptop-hp-probook-440-g8-i7-614f9pa--s220500536,https://lh3.googleusercontent.com/1MvN9uqMtBCAi75hYwPQfr4OIE3wef4BNO6YhilS97ING3okjFva1XOIXpMVYfWVskpCyMHuzxLUs2Qrw8jiVEoSmiA79gWz=w500-rw,Intel Core i7-1165G7,"14"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.3kg,1.3kg
91,HP,HP ProBook 440 G8,26.190.000₫,null,https://phongvu.vn/laptop-hp-probook-440-g8-i7-614g1pa--s220500537,https://lh3.googleusercontent.com/wn9xDlQDW2TpnrjVIs_pDGe2w7MSSUizdxutuR8wjS-1_aYpNY30MbJV_Io-65j3WZfnyQdhER2bpD4NFtIDFKLC469XgmebjA=w500-rw,Intel Core i7-1165G7,"14"" IPS (1920 x 1080)",1 x 16GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.3kg,1.3kg
92,GIGABYTE,GIGABYTE AORUS 17 XE4-73VN514GH,45.390.000₫,53.990.000₫,https://phongvu.vn/gigabyte-aorus-17-xe4-73vn514gh-i7--s220500538,https://lh3.googleusercontent.com/WODw8OV7RyvZa_6CS7gfJ5tG_A3Na8lbkenDKPUNoqb1Ppt63Pt6F373IMOpQioau754BzJphV-UKJ0fICw11SLnXsWiqqM-=w500-rw,Intel Core i7-12700H,"17.3"" IPS (1920 x 1080),360Hz",2 x 8GB DDR4 3200MHz,RTX 3070Ti 8GB GDDR6 / Intel Iris Xe Graphics,1TB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 2.7kg,2.7kg
93,HP,HP ProBook 450 G8,25.290.000₫,null,https://phongvu.vn/laptop-hp-probook-450-g8-614k4pa--s220501939,https://lh3.googleusercontent.com/v39eTiCN0BBrLd8vOOcIXx8RLoRMtiPWVqjnm7AfAzbJGQwcGG_AnVJqLpjeN4-5gMYZ5QWpU5pQOWz_TokT0iZJjUHv9OMS=w500-rw,Intel Core i7-1165G7,"15.6"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.6kg,1.6kg
95,Dell,Dell Vostro 3420,14.990.000₫,null,https://phongvu.vn/laptop-dell-vostro-3420-70283384--s220503338,https://lh3.googleusercontent.com/rMLupjdwYwdzY9S9Hz9t9J_Ena4IvZQPfe0dKUtlC3K_tDLtCGdvVrsMdraLVwIH4YBhS-n9X3Rqby3IfbcgmzGrMPy74IDE=w500-rw,Intel Core i3-1115G4,"14"" IPS (1920 x 1080)",1 x 8GB DDR4 2666MHz,Onboard Intel UHD Graphics,256GB SSD M.2 NVMe /,Windows 11 Home SL + Office Home & Student 2021,- Khối lượng: 1.5kg,1.5kg
